node,Panorama Hotel,40.0997564,19.7673058
node,,40.0931717,19.7550125
node,Corfu Garden Village,39.7928583,19.8052366
node,Roda Garden Village,39.7910787,19.8003881
node,Taverna Marina,39.6102584,19.7783424
node,Acharavi Beach Hotel,39.7973607,19.8166745
node,Robolla Beach,39.7951180,19.7811907
node,Ibiscus Corfu (former Mirabell),39.7964376,19.7736202
node,Η Παλιά Περίθεια,39.7645004,19.8750034
node,Ninos Restaurant,39.5866601,19.9139534
node,Taverne Alkinos,39.5822971,19.9134538
node,The White House,39.7423755,19.9330884
node,Taverna Nikolas,39.7358524,19.9290859
node,Taverna Agni,39.7364709,19.9292302
node,Cafe Bar 92,39.6251555,19.9238208
node,Apraos Bay Hotel,39.7964692,19.8901604
node,Visions,39.7891511,19.9209808
node,Seasons Cafe,39.7884942,19.9193072
node,Petrino,39.7884382,19.9190805
node,Taverna Harry's,39.8019250,19.8703670
node,RESTAURANT,39.8017309,19.8704820
node,Hatzos Taverna,39.7868490,19.8756885
node,Karbouris Taverna,39.8088564,19.8657776
node,Ma Cocotte,39.5915116,19.9175759
node,Spider Cafe,39.6152844,19.8428629
node,Nefeli Corfu,39.6642766,19.8504264
node,Alexandros,39.5924198,19.8207919
node,O Foros,39.5918690,19.8217353
node,Roula's Taverna,39.5914178,19.8218416
node,Pelekas Cafe,39.5919459,19.8220493
node,Agnes,39.5917069,19.8219275
node,Jimmy's,39.5921907,19.8210585
node,Antonis,39.5918652,19.8210025
node,Roumeli,39.7274148,19.9036105
node,,39.7258915,19.9050053
node,Kiki's Apartment,39.7197193,19.8694880
node,,39.7898161,19.9221929
node,,39.7900030,19.9220929
node,,39.6216522,19.9227405
node,,39.6219077,19.9227486
node,,39.6212582,19.9228929
node,,39.7187947,19.8707218
node,,39.7190010,19.8709900
node,Stathis,39.6273211,19.9149379
node,Grand Mediterraneo,39.6128903,19.7786744
node,Pool Bar,39.6517114,19.8296369
node,,39.6474830,19.8541431
node,,39.6473261,19.8538480
node,Pool Bar,39.6476937,19.8551864
node,,39.6471133,19.8534645
node,Eucalyptus Taverna,39.7673904,19.9485162
node,Ψησταριά,39.7079704,19.8443654
node,Aristea,39.6904420,19.8292847
